Kylian Mbappé,10390000,TOTY
Erling Haaland,5500000,TOTY
Caroline Graham Hansen,2800000,TOTY
Aitana Bonmatí Conca,1730000,TOTY
Pelé,14900000,FUT Birthday Icon
Lionel Messi,5300000,TOTY
Erling Haaland,10650000,TOTS
Lauren James,3850000,TOTS
Harry Kane,4220000,TOTS
Jeremie Frimpong,4050000,TOTS
Alexandra Popp,2080000,TOTS
Johan Cruyff,6900000,Golazo Icon
Alexandra Popp,0,Champion TOTS
Virgil van Dijk,7000000,TOTS
Harry Kane,0,Champion TOTS
Jeremie Frimpong,0,Champion TOTS
Erling Haaland,0,Champion TOTS
Virgil van Dijk,0,Champion TOTS
Pelé,3580000,Winter Wildcard ICON
Sam Kerr,360000,TOTY
Kevin De Bruyne,1350000,TOTY
Alexia Putellas Segura,2780000,TOTY
Virgil van Dijk,5300000,TOTY
Lauren James,0,Champion TOTS
Zinedine Zidane,2920000,Future Stars Icon
Declan Rice,1400000,TOTS
Ferenc Puskás,2650000,Golazo Icon
Rodri,1520000,TOTS
Khadija Shaw,129000,TOTS Plus
Jude Bellingham,3190000,TOTY
Erling Haaland,5500000,TOTY
Caroline Graham Hansen,2800000,TOTY
Kylian Mbappé,10390000,TOTY
Lionel Messi,5300000,TOTY
Aitana Bonmatí Conca,1730000,TOTY
Pelé,14900000,FUT Birthday Icon
Johan Cruyff,6900000,Golazo Icon
Erling Haaland,10650000,TOTS
Lauren James,3850000,TOTS
Virgil van Dijk,7000000,TOTS
Harry Kane,4220000,TOTS
Jeremie Frimpong,4050000,TOTS
Alexandra Popp,2080000,TOTS
Alexandra Popp,0,Champion TOTS
Jeremie Frimpong,0,Champion TOTS
Harry Kane,0,Champion TOTS
Erling Haaland,0,Champion TOTS
Virgil van Dijk,0,Champion TOTS
Lauren James,0,Champion TOTS
Pelé,3580000,Winter Wildcard ICON
Sam Kerr,360000,TOTY
Kevin De Bruyne,1350000,TOTY
Alexia Putellas Segura,2780000,TOTY
Jude Bellingham,3190000,TOTY
Virgil van Dijk,5300000,TOTY
Zinedine Zidane,2920000,Future Stars Icon
Ferenc Puskás,2650000,Golazo Icon
Declan Rice,1400000,TOTS
Rodri,1520000,TOTS
Khadija Shaw,129000,TOTS Plus
Erling Haaland,5500000,TOTY
Kylian Mbappé,10390000,TOTY
Lionel Messi,5300000,TOTY
Aitana Bonmatí Conca,1730000,TOTY
Caroline Graham Hansen,2800000,TOTY
Pelé,14900000,FUT Birthday Icon
Erling Haaland,10650000,TOTS
Johan Cruyff,6900000,Golazo Icon
Virgil van Dijk,7000000,TOTS
Harry Kane,4220000,TOTS
Alexandra Popp,2080000,TOTS
